name,R_M1,N_M1,R_M2,N_M2,d,Xmax,Xmin,EAmax,EAmin,IEmax,IEmin,Omax,Omin,Qmax,Qmin,DBCmax,DBCmin
Sc-Sc,1.84,1,1.84,1,2.854,1.36,1.36,0.1882,0.1882,6.56149,6.56149,0.84,0.84,1.357295,1.343136,1.158,1.158
Ti-Sc,1.76,2,1.84,1,2.693,1.54,1.36,0.1882,0.075545,6.82812,6.56149,1.04,0.84,1.438276,1.090974,1.4465,1.0045
V-Sc,1.71,3,1.84,1,2.62,1.63,1.36,0.527662,0.1882,6.746187,6.56149,0.84,0.79,1.567062,1.09961,0.9835,0.721
Cr-Sc,1.66,5,1.84,1,2.733,1.66,1.36,0.6758412,0.1882,6.76651,6.56149,0.84,0.61,1.544613,1.02978,1.2945,0.057
Mn-Sc,1.61,5,1.84,1,2.605,1.55,1.36,0.1882,-0.52,7.434038,6.56149,0.84,0.37,1.625022,0.853823,1.383,-0.6615
Fe-Sc,1.56,6,1.84,1,2.459,1.83,1.36,0.1882,0.15323634,7.9024681,6.56149,0.84,0.43,1.624758,0.644064,1.3905,-1.077
Co-Sc,1.52,7,1.84,1,2.36,1.88,1.36,0.662265,0.1882,7.88101,6.56149,0.84,0.39,1.62843,0.428515,1.5325,-0.91
Ni-Sc,1.49,8,1.84,1,2.321,1.91,1.36,1.1571612,0.1882,7.639878,6.56149,0.84,0.19,1.630497,0.323866,1.6415,-1.2825
Cu-Sc,1.45,10,1.84,1,2.549,1.9,1.36,1.235784,0.1882,7.72638,6.56149,0.84,0.19,1.732432,0.541513,1.0005,-3.177
Zn-Sc,1.42,10,1.84,1,2.704,1.65,1.36,0.1882,-0.62,9.394197,6.56149,0.84,0.24,1.825522,0.133395,1.333,-6.1715
Y-Sc,2.12,1,1.84,1,3.016,1.36,1.22,0.30712,0.1882,6.56149,6.21726,0.84,0.81,1.449497,1.40907,1.2125,1.2025
Zr-Sc,2.06,2,1.84,1,2.811,1.36,1.33,0.433289,0.1882,6.634126,6.56149,0.84,0.84,1.38661,1.221414,1.475,0.868
Nb-Sc,1.98,4,1.84,1,2.696,1.6,1.36,0.917407,0.1882,6.75885,6.56149,0.84,0.81,1.4729,0.944018,1.427,0.3395
Mo-Sc,1.9,5,1.84,1,2.537,2.16,1.36,0.74733,0.1882,7.09243,6.56149,0.84,0.62,1.529796,0.891451,1.7265,-0.1065
Tc-Sc,1.83,5,1.84,1,2.472,1.9,1.36,0.552,0.1882,7.11938,6.56149,0.84,0.5,1.586402,0.663655,1.461,-0.7635
